song,artist,date,rank
The Fighter,Keith Urban Featuring Carrie Underwood,2017-04-22,38
Rolex,Ayo &amp; Teo,2017-04-22,39
Slide,Calvin Harris Featuring Frank Ocean &amp; Migos,2017-04-22,40
Million Reasons,Lady Gaga,2017-04-22,41
Dirt On My Boots,Jon Pardi,2017-04-22,42
Goosebumps,Travis Scott,2017-04-22,43
In Case You Didn't Know,Brett Young,2017-04-22,44
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-04-22,45
Both,Gucci Mane Featuring Drake,2017-04-22,46
Water Under The Bridge,Adele,2017-04-22,47
Believer,Imagine Dragons,2017-04-22,48
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-04-22,49
Bad Things,Machine Gun Kelly x Camila Cabello,2017-04-22,50
Party,Chris Brown Featuring Usher &amp; Gucci Mane,2017-04-22,51
Swalla,Jason Derulo Featuring Nicki Minaj &amp; Ty Dolla $ign,2017-04-22,52
Craving You,Thomas Rhett Featuring Maren Morris,2017-04-22,53
Any Ol' Barstool,Jason Aldean,2017-04-22,54
Green Light,Lorde,2017-04-22,55
Redbone,Childish Gambino,2017-04-22,56
Hurricane,Luke Combs,2017-04-22,57
Fast,Luke Bryan,2017-04-22,58
Everybody,Logic,2017-04-22,59
You Look Good,Lady Antebellum,2017-04-22,60
Heavy,Linkin Park Featuring Kiiara,2017-04-22,61
Gyalchester,Drake,2017-04-22,62
How Far I'll Go,Auli'i Cravalho,2017-04-22,63
Shining,DJ Khaled Featuring Beyonce &amp; JAY Z,2017-04-22,64
Hometown Girl,Josh Turner,2017-04-22,65
Black,Dierks Bentley,2017-04-22,66
Road Less Traveled,Lauren Alaina,2017-04-22,67
Free Smoke,Drake,2017-04-22,68
Castle On The Hill,Ed Sheeran,2017-04-22,69
Speak To A Girl,Tim McGraw &amp; Faith Hill,2017-04-22,70
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,2017-04-22,71
Play That Song,Train,2017-04-22,72
Deja Vu,J. Cole,2017-04-22,73
Moves,Big Sean,2017-04-22,74
Tin Man,Miranda Lambert,2017-04-22,75
Yeah Boy,Kelsea Ballerini,2017-04-22,76
Selfish,Future Featuring Rihanna,2017-04-22,77
Blem,Drake,2017-04-22,78
Losin Control,Russ,2017-04-22,79
The Weekend,Brantley Gilbert,2017-04-22,80
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion &amp; Lennox Or Sean Paul",2017-04-22,81
Call On Me,Starley,2017-04-22,82
Teenage Fever,Drake,2017-04-22,83
No Frauds,"Nicki Minaj, Drake &amp; Lil Wayne",2017-04-22,84
The Heart Part 4,Kendrick Lamar,2017-04-22,85
Think A Little Less,Michael Ray,2017-04-22,86
Draco,Future,2017-04-22,87
First Day Out,Tee Grizzley,2017-04-22,88
Sacrifices,Drake Featuring 2 Chainz &amp; Young Thug,2017-04-22,89
Scared To Be Lonely,Martin Garrix &amp; Dua Lipa,2017-04-22,90
The One,The Chainsmokers,2017-04-22,91
How Far I'll Go,Alessia Cara,2017-04-22,92
Conscience,Kodak Black Featuring Future,2017-04-22,93
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,2017-04-22,94
Good Drank,2 Chainz x Gucci Mane x Quavo,2017-04-22,95
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams &amp; Ariana Grande",2017-04-22,96
Prblms,6LACK,2017-04-22,97
How Not To,Dan + Shay,2017-04-22,98
You're Welcome,Dwayne Johnson,2017-04-22,99
Human,Rag'n'Bone Man,2017-04-22,100
Shape Of You,Ed Sheeran,2017-04-15,1
That's What I Like,Bruno Mars,2017-04-15,2
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-04-15,3
I Feel It Coming,The Weeknd Featuring Daft Punk,2017-04-15,4
iSpy,KYLE Featuring Lil Yachty,2017-04-15,5
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-04-15,6
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017-04-15,7
Tunnel Vision,Kodak Black,2017-04-15,8
Paris,The Chainsmokers,2017-04-15,9
Passionfruit,Drake,2017-04-15,10
Rockabye,Clean Bandit Featuring Sean Paul &amp; Anne-Marie,2017-04-15,11
Body Like A Back Road,Sam Hunt,2017-04-15,12
Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017-04-15,13
Love On The Brain,Rihanna,2017-04-15,14
It Ain't Me,Kygo x Selena Gomez,2017-04-15,15
Bounce Back,Big Sean,2017-04-15,16
Stay,Zedd &amp; Alessia Cara,2017-04-15,17
Mask Off,Future,2017-04-15,18
Say You Won't Let Go,James Arthur,2017-04-15,19
Closer,The Chainsmokers Featuring Halsey,2017-04-15,20
Portland,Drake Featuring Quavo &amp; Travis Scott,2017-04-15,21
The Heart Part 4,Kendrick Lamar,2017-04-15,22
Issues,Julia Michaels,2017-04-15,23
Location,Khalid,2017-04-15,24
T-Shirt,Migos,2017-04-15,25
Mercy,Shawn Mendes,2017-04-15,26
Fake Love,Drake,2017-04-15,27
Congratulations,Post Malone Featuring Quavo,2017-04-15,28
24K Magic,Bruno Mars,2017-04-15,29
Cold,Maroon 5 Featuring Future,2017-04-15,30
Can't Stop The Feeling!,Justin Timberlake,2017-04-15,31
Scars To Your Beautiful,Alessia Cara,2017-04-15,32
Down,Marian Hill,2017-04-15,33
Swang,Rae Sremmurd,2017-04-15,34
Starboy,The Weeknd Featuring Daft Punk,2017-04-15,35
Rolex,Ayo &amp; Teo,2017-04-15,36
Million Reasons,Lady Gaga,2017-04-15,37
Dirt On My Boots,Jon Pardi,2017-04-15,38
Bad Things,Machine Gun Kelly x Camila Cabello,2017-04-15,39
Free Smoke,Drake,2017-04-15,40
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-04-15,41
Look At Me!,XXXTENTACION,2017-04-15,42
Gyalchester,Drake,2017-04-15,43
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-04-15,44
Slide,Calvin Harris Featuring Frank Ocean &amp; Migos,2017-04-15,45
Water Under The Bridge,Adele,2017-04-15,46
Party,Chris Brown Featuring Usher &amp; Gucci Mane,2017-04-15,47
Blem,Drake,2017-04-15,48
XO TOUR Llif3,Lil Uzi Vert,2017-04-15,49
Both,Gucci Mane Featuring Drake,2017-04-15,50
In Case You Didn't Know,Brett Young,2017-04-15,51
Believer,Imagine Dragons,2017-04-15,52
Teenage Fever,Drake,2017-04-15,53
Redbone,Childish Gambino,2017-04-15,54
Hurricane,Luke Combs,2017-04-15,55
Sacrifices,Drake Featuring 2 Chainz &amp; Young Thug,2017-04-15,56
Heavy,Linkin Park Featuring Kiiara,2017-04-15,57
How Far I'll Go,Auli'i Cravalho,2017-04-15,58
Green Light,Lorde,2017-04-15,59
Fast,Luke Bryan,2017-04-15,60
Speak To A Girl,Tim McGraw &amp; Faith Hill,2017-04-15,61
Any Ol' Barstool,Jason Aldean,2017-04-15,62
Castle On The Hill,Ed Sheeran,2017-04-15,63
Shining,DJ Khaled Featuring Beyonce &amp; JAY Z,2017-04-15,64
Swalla,Jason Derulo Featuring Nicki Minaj &amp; Ty Dolla $ign,2017-04-15,65
Still Got Time,Zayn Featuring PARTYNEXTDOOR,2017-04-15,66
Play That Song,Train,2017-04-15,67
Get It Together,Drake Featuring Jorja Smith &amp; Black Coffee,2017-04-15,68
Road Less Traveled,Lauren Alaina,2017-04-15,69
Deja Vu,J. Cole,2017-04-15,70
Moves,Big Sean,2017-04-15,71
Hometown Girl,Josh Turner,2017-04-15,72
Selfish,Future Featuring Rihanna,2017-04-15,73
The Fighter,Keith Urban Featuring Carrie Underwood,2017-04-15,74
No Frauds,"Nicki Minaj, Drake &amp; Lil Wayne",2017-04-15,75
No Long Talk,Drake Featuring Giggs,2017-04-15,76
Losin Control,Russ,2017-04-15,77
Think A Little Less,Michael Ray,2017-04-15,78
KMT,Drake Featuring Giggs,2017-04-15,79
Call On Me,Starley,2017-04-15,80
The Weekend,Brantley Gilbert,2017-04-15,81
4422,Drake Featuring Sampha,2017-04-15,82
Jorja Interlude,Drake,2017-04-15,83
Madiba Riddim,Drake,2017-04-15,84
Ice Melts,Drake Featuring Young Thug,2017-04-15,85
Do Not Disturb,Drake,2017-04-15,86
Black,Dierks Bentley,2017-04-15,87
Yeah Boy,Kelsea Ballerini,2017-04-15,88
Glow,Drake Featuring Kanye West,2017-04-15,89
Draco,Future,2017-04-15,90
How Far I'll Go,Alessia Cara,2017-04-15,91
Scared To Be Lonely,Martin Garrix &amp; Dua Lipa,2017-04-15,92
Galway Girl,Ed Sheeran,2017-04-15,93
Everyday,Ariana Grande Featuring Future,2017-04-15,94
Good Drank,2 Chainz x Gucci Mane x Quavo,2017-04-15,95
Prblms,6LACK,2017-04-15,96
Can't Have Everything,Drake,2017-04-15,97
Party Monster,The Weeknd,2017-04-15,98
Nothings Into Somethings,Drake,2017-04-15,99
You're Welcome,Dwayne Johnson,2017-04-15,100
Shape Of You,Ed Sheeran,2017-04-08,1
That's What I Like,Bruno Mars,2017-04-08,2
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017-04-08,3
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-04-08,4
I Feel It Coming,The Weeknd Featuring Daft Punk,2017-04-08,5
Tunnel Vision,Kodak Black,2017-04-08,6
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-04-08,7
Passionfruit,Drake,2017-04-08,8
Portland,Drake Featuring Quavo &amp; Travis Scott,2017-04-08,9
Paris,The Chainsmokers,2017-04-08,10
Love On The Brain,Rihanna,2017-04-08,11
iSpy,KYLE Featuring Lil Yachty,2017-04-08,12
Rockabye,Clean Bandit Featuring Sean Paul &amp; Anne-Marie,2017-04-08,13
Bounce Back,Big Sean,2017-04-08,14
Fake Love,Drake,2017-04-08,15
Body Like A Back Road,Sam Hunt,2017-04-08,16
Closer,The Chainsmokers Featuring Halsey,2017-04-08,17
Free Smoke,Drake,2017-04-08,18
Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017-04-08,19
It Ain't Me,Kygo x Selena Gomez,2017-04-08,20
Stay,Zedd &amp; Alessia Cara,2017-04-08,21
Say You Won't Let Go,James Arthur,2017-04-08,22
Mercy,Shawn Mendes,2017-04-08,23
Mask Off,Future,2017-04-08,24
T-Shirt,Migos,2017-04-08,25
Issues,Julia Michaels,2017-04-08,26
24K Magic,Bruno Mars,2017-04-08,27
Down,Marian Hill,2017-04-08,28
Gyalchester,Drake,2017-04-08,29
Congratulations,Post Malone Featuring Quavo,2017-04-08,30
Cold,Maroon 5 Featuring Future,2017-04-08,31
Location,Khalid,2017-04-08,32
Can't Stop The Feeling!,Justin Timberlake,2017-04-08,33
Scars To Your Beautiful,Alessia Cara,2017-04-08,34
Teenage Fever,Drake,2017-04-08,35
Sacrifices,Drake Featuring 2 Chainz &amp; Young Thug,2017-04-08,36
Starboy,The Weeknd Featuring Daft Punk,2017-04-08,37
Blem,Drake,2017-04-08,38
Bad Things,Machine Gun Kelly x Camila Cabello,2017-04-08,39
No Long Talk,Drake Featuring Giggs,2017-04-08,40
Swang,Rae Sremmurd,2017-04-08,41
Rolex,Ayo &amp; Teo,2017-04-08,42
Dirt On My Boots,Jon Pardi,2017-04-08,43
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-04-08,44
Get It Together,Drake Featuring Jorja Smith &amp; Black Coffee,2017-04-08,45
Million Reasons,Lady Gaga,2017-04-08,46
Let Me Love You,DJ Snake Featuring Justin Bieber,2017-04-08,47
KMT,Drake Featuring Giggs,2017-04-08,48
Jorja Interlude,Drake,2017-04-08,49
4422,Drake Featuring Sampha,2017-04-08,50
Madiba Riddim,Drake,2017-04-08,51
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-04-08,52
Water Under The Bridge,Adele,2017-04-08,53
Glow,Drake Featuring Kanye West,2017-04-08,54
Slide,Calvin Harris Featuring Frank Ocean &amp; Migos,2017-04-08,55
Party,Chris Brown Featuring Usher &amp; Gucci Mane,2017-04-08,56
Believer,Imagine Dragons,2017-04-08,57
Both,Gucci Mane Featuring Drake,2017-04-08,58
Goosebumps,Travis Scott,2017-04-08,59
Do Not Disturb,Drake,2017-04-08,60
Nothings Into Somethings,Drake,2017-04-08,61
Ice Melts,Drake Featuring Young Thug,2017-04-08,62
How Far I'll Go,Auli'i Cravalho,2017-04-08,63
Lose You,Drake,2017-04-08,64
Green Light,Lorde,2017-04-08,65
Look At Me!,XXXTENTACION,2017-04-08,66
In Case You Didn't Know,Brett Young,2017-04-08,67
Hurricane,Luke Combs,2017-04-08,68
Fast,Luke Bryan,2017-04-08,69
Since Way Back,Drake Featuring PARTYNEXTDOOR,2017-04-08,70
Redbone,Childish Gambino,2017-04-08,71
Castle On The Hill,Ed Sheeran,2017-04-08,72
Make Me (Cry),Noah Cyrus Featuring Labrinth,2017-04-08,73
Any Ol' Barstool,Jason Aldean,2017-04-08,74
Everyday,Ariana Grande Featuring Future,2017-04-08,75
Skepta Interlude,Drake,2017-04-08,76
Play That Song,Train,2017-04-08,77
The Fighter,Keith Urban Featuring Carrie Underwood,2017-04-08,78
Heavy,Linkin Park Featuring Kiiara,2017-04-08,79
Deja Vu,J. Cole,2017-04-08,80
Think A Little Less,Michael Ray,2017-04-08,81
Can't Have Everything,Drake,2017-04-08,82
Moves,Big Sean,2017-04-08,83
No Frauds,"Nicki Minaj, Drake &amp; Lil Wayne",2017-04-08,84
Selfish,Future Featuring Rihanna,2017-04-08,85
Shining,DJ Khaled Featuring Beyonce &amp; JAY Z,2017-04-08,86
Road Less Traveled,Lauren Alaina,2017-04-08,87
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,2017-04-08,88
Galway Girl,Ed Sheeran,2017-04-08,89
Call On Me,Starley,2017-04-08,90
Losin Control,Russ,2017-04-08,91
Hometown Girl,Josh Turner,2017-04-08,92
The Weekend,Brantley Gilbert,2017-04-08,93
Perfect,Ed Sheeran,2017-04-08,94
Draco,Future,2017-04-08,95
Kill A Word,Eric Church Featuring Rhiannon Giddens,2017-04-08,96
Trap Trap Trap,Rick Ross Featuring Young Thug &amp; Wale,2017-04-08,97
Swalla,Jason Derulo Featuring Nicki Minaj &amp; Ty Dolla $ign,2017-04-08,98
Party Monster,The Weeknd,2017-04-08,99
How Far I'll Go,Alessia Cara,2017-04-08,100
Shape Of You,Ed Sheeran,2017-04-01,1
That's What I Like,Bruno Mars,2017-04-01,2
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-04-01,3
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017-04-01,4
I Feel It Coming,The Weeknd Featuring Daft Punk,2017-04-01,5
Tunnel Vision,Kodak Black,2017-04-01,6
Love On The Brain,Rihanna,2017-04-01,7
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-04-01,8
Paris,The Chainsmokers,2017-04-01,9
iSpy,KYLE Featuring Lil Yachty,2017-04-01,10
Bounce Back,Big Sean,2017-04-01,11
Rockabye,Clean Bandit Featuring Sean Paul &amp; Anne-Marie,2017-04-01,12
Closer,The Chainsmokers Featuring Halsey,2017-04-01,13
No Frauds,"Nicki Minaj, Drake &amp; Lil Wayne",2017-04-01,14
Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017-04-01,15
Cold,Maroon 5 Featuring Future,2017-04-01,16
It Ain't Me,Kygo x Selena Gomez,2017-04-01,17
Body Like A Back Road,Sam Hunt,2017-04-01,18
Mask Off,Future,2017-04-01,19
Mercy,Shawn Mendes,2017-04-01,20
Say You Won't Let Go,James Arthur,2017-04-01,21
24K Magic,Bruno Mars,2017-04-01,22
Down,Marian Hill,2017-04-01,23
Issues,Julia Michaels,2017-04-01,24
Scars To Your Beautiful,Alessia Cara,2017-04-01,25
T-Shirt,Migos,2017-04-01,26
Stay,Zedd &amp; Alessia Cara,2017-04-01,27
Can't Stop The Feeling!,Justin Timberlake,2017-04-01,28
Bad Things,Machine Gun Kelly x Camila Cabello,2017-04-01,29
Starboy,The Weeknd Featuring Daft Punk,2017-04-01,30
Fake Love,Drake,2017-04-01,31
Congratulations,Post Malone Featuring Quavo,2017-04-01,32
Swang,Rae Sremmurd,2017-04-01,33
Rolex,Ayo &amp; Teo,2017-04-01,34
Location,Khalid,2017-04-01,35
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-04-01,36
Dirt On My Boots,Jon Pardi,2017-04-01,37
Million Reasons,Lady Gaga,2017-04-01,38
Green Light,Lorde,2017-04-01,39
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017-04-01,40
Let Me Love You,DJ Snake Featuring Justin Bieber,2017-04-01,41
Believer,Imagine Dragons,2017-04-01,42
Water Under The Bridge,Adele,2017-04-01,43
Party,Chris Brown Featuring Usher &amp; Gucci Mane,2017-04-01,44
Heathens,twenty one pilots,2017-04-01,45
How Far I'll Go,Auli'i Cravalho,2017-04-01,46
Make Me (Cry),Noah Cyrus Featuring Labrinth,2017-04-01,47
Slide,Calvin Harris Featuring Frank Ocean &amp; Migos,2017-04-01,48
Caroline,Amine,2017-04-01,49
Goosebumps,Travis Scott,2017-04-01,50
Both,Gucci Mane Featuring Drake,2017-04-01,51
Castle On The Hill,Ed Sheeran,2017-04-01,52
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-04-01,53
Think A Little Less,Michael Ray,2017-04-01,54
Everyday,Ariana Grande Featuring Future,2017-04-01,55
Redbone,Childish Gambino,2017-04-01,56
Deja Vu,J. Cole,2017-04-01,57
Play That Song,Train,2017-04-01,58
Selfish,Future Featuring Rihanna,2017-04-01,59
Perfect,Ed Sheeran,2017-04-01,60
Regret In Your Tears,Nicki Minaj,2017-04-01,61
Better Man,Little Big Town,2017-04-01,62
Galway Girl,Ed Sheeran,2017-04-01,63
Fast,Luke Bryan,2017-04-01,64
Look At Me!,XXXTENTACION,2017-04-01,65
Hurricane,Luke Combs,2017-04-01,66
Shining,DJ Khaled Featuring Beyonce &amp; JAY Z,2017-04-01,67
In Case You Didn't Know,Brett Young,2017-04-01,68
Heavy,Linkin Park Featuring Kiiara,2017-04-01,69
Any Ol' Barstool,Jason Aldean,2017-04-01,70
Changed It,Nicki Minaj &amp; Lil Wayne,2017-04-01,71
Chanel,Frank Ocean,2017-04-01,72
Moves,Big Sean,2017-04-01,73
Draco,Future,2017-04-01,74
Call On Me,Starley,2017-04-01,75
How Far I'll Go,Alessia Cara,2017-04-01,76
Party Monster,The Weeknd,2017-04-01,77
Liability,Lorde,2017-04-01,78
Losin Control,Russ,2017-04-01,79
Road Less Traveled,Lauren Alaina,2017-04-01,80
Hometown Girl,Josh Turner,2017-04-01,81
I Got You,Bebe Rexha,2017-04-01,82
Kill A Word,Eric Church Featuring Rhiannon Giddens,2017-04-01,83
The Weekend,Brantley Gilbert,2017-04-01,84
Dive,Ed Sheeran,2017-04-01,85
Sober Saturday Night,Chris Young Featuring Vince Gill,2017-04-01,86
The Fighter,Keith Urban Featuring Carrie Underwood,2017-04-01,87
Black,Dierks Bentley,2017-04-01,88
Today,Brad Paisley,2017-04-01,89
Selfish,PnB Rock,2017-04-01,90
Yeah Boy,Kelsea Ballerini,2017-04-01,91
You're Welcome,Dwayne Johnson,2017-04-01,92
Good Drank,2 Chainz x Gucci Mane x Quavo,2017-04-01,93
Happier,Ed Sheeran,2017-04-01,94
Prblms,6LACK,2017-04-01,95
Comin Out Strong,Future Featuring The Weeknd,2017-04-01,96
Chantaje,Shakira Featuring Maluma,2017-04-01,97
El Amante,Nicky Jam,2017-04-01,98
Slippery,Migos Featuring Gucci Mane,2017-04-01,99
Scared To Be Lonely,Martin Garrix &amp; Dua Lipa,2017-04-01,100
Shape Of You,Ed Sheeran,2017-03-18,1
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-03-18,2
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017-03-18,3
That's What I Like,Bruno Mars,2017-03-18,4
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-03-18,5
Love On The Brain,Rihanna,2017-03-18,6
Paris,The Chainsmokers,2017-03-18,7
Tunnel Vision,Kodak Black,2017-03-18,8
Bounce Back,Big Sean,2017-03-18,9
Closer,The Chainsmokers Featuring Halsey,2017-03-18,10
I Feel It Coming,The Weeknd Featuring Daft Punk,2017-03-18,11
Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017-03-18,12
Can't Stop The Feeling!,Justin Timberlake,2017-03-18,13
iSpy,KYLE Featuring Lil Yachty,2017-03-18,14
Bad Things,Machine Gun Kelly x Camila Cabello,2017-03-18,15
Fake Love,Drake,2017-03-18,16
Mercy,Shawn Mendes,2017-03-18,17
24K Magic,Bruno Mars,2017-03-18,18
Scars To Your Beautiful,Alessia Cara,2017-03-18,19
Body Like A Back Road,Sam Hunt,2017-03-18,20
Down,Marian Hill,2017-03-18,21
It Ain't Me,Kygo x Selena Gomez,2017-03-18,22
Starboy,The Weeknd Featuring Daft Punk,2017-03-18,23
Rockabye,Clean Bandit Featuring Sean Paul &amp; Anne-Marie,2017-03-18,24
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-03-18,25
Say You Won't Let Go,James Arthur,2017-03-18,26
Issues,Julia Michaels,2017-03-18,27
Stay,Zedd &amp; Alessia Cara,2017-03-18,28
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017-03-18,29
Million Reasons,Lady Gaga,2017-03-18,30
T-Shirt,Migos,2017-03-18,31
Cold,Maroon 5 Featuring Future,2017-03-18,32
All Time Low,Jon Bellion,2017-03-18,33
Slide,Calvin Harris Featuring Frank Ocean &amp; Migos,2017-03-18,34
Congratulations,Post Malone Featuring Quavo,2017-03-18,35
Let Me Love You,DJ Snake Featuring Justin Bieber,2017-03-18,36
Selfish,Future Featuring Rihanna,2017-03-18,37
Caroline,Amine,2017-03-18,38
Side To Side,Ariana Grande Featuring Nicki Minaj,2017-03-18,39
Swang,Rae Sremmurd,2017-03-18,40
Water Under The Bridge,Adele,2017-03-18,41
Better Man,Little Big Town,2017-03-18,42
Heathens,twenty one pilots,2017-03-18,43
Dirt On My Boots,Jon Pardi,2017-03-18,44
Treat You Better,Shawn Mendes,2017-03-18,45
Mask Off,Future,2017-03-18,46
Party,Chris Brown Featuring Usher &amp; Gucci Mane,2017-03-18,47
Comin Out Strong,Future Featuring The Weeknd,2017-03-18,48
Both,Gucci Mane Featuring Drake,2017-03-18,49
I Got You,Bebe Rexha,2017-03-18,50
Location,Khalid,2017-03-18,51
Despacito,Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber,2017-03-18,52
How Far I'll Go,Auli'i Cravalho,2017-03-18,53
Deja Vu,J. Cole,2017-03-18,54
Think A Little Less,Michael Ray,2017-03-18,55
Make Me (Cry),Noah Cyrus Featuring Labrinth,2017-03-18,56
Goosebumps,Travis Scott,2017-03-18,57
Everyday,Ariana Grande Featuring Future,2017-03-18,58
Believer,Imagine Dragons,2017-03-18,59
Rolex,Ayo &amp; Teo,2017-03-18,60
Shining,DJ Khaled Featuring Beyonce &amp; JAY Z,2017-03-18,61
Play That Song,Train,2017-03-18,62
Sober Saturday Night,Chris Young Featuring Vince Gill,2017-03-18,63
Draco,Future,2017-03-18,64
Moves,Big Sean,2017-03-18,65
Look At Me!,XXXTENTACION,2017-03-18,66
Party Monster,The Weeknd,2017-03-18,67
Fast,Luke Bryan,2017-03-18,68
Today,Brad Paisley,2017-03-18,69
Any Ol' Barstool,Jason Aldean,2017-03-18,70
Call On Me,Starley,2017-03-18,71
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,2017-03-18,72
Love,Lana Del Rey,2017-03-18,73
Hurricane,Luke Combs,2017-03-18,74
Castle On The Hill,Ed Sheeran,2017-03-18,75
Used To This,Future Featuring Drake,2017-03-18,76
No Heart,21 Savage &amp; Metro Boomin,2017-03-18,77
Make Love,Gucci Mane &amp; Nicki Minaj,2017-03-18,78
Kill A Word,Eric Church Featuring Rhiannon Giddens,2017-03-18,79
How Far I'll Go,Alessia Cara,2017-03-18,80
The Weekend,Brantley Gilbert,2017-03-18,81
Heavy,Linkin Park Featuring Kiiara,2017-03-18,82
Redbone,Childish Gambino,2017-03-18,83
Road Less Traveled,Lauren Alaina,2017-03-18,84
In Case You Didn't Know,Brett Young,2017-03-18,85
Selfish,PnB Rock,2017-03-18,86
Star Of The Show,Thomas Rhett,2017-03-18,87
Love Me Now,John Legend,2017-03-18,88
Losin Control,Russ,2017-03-18,89
Chantaje,Shakira Featuring Maluma,2017-03-18,90
A Guy With A Girl,Blake Shelton,2017-03-18,91
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,2017-03-18,92
The Fighter,Keith Urban Featuring Carrie Underwood,2017-03-18,93
Slippery,Migos Featuring Gucci Mane,2017-03-18,94
Not Nice,PARTYNEXTDOOR,2017-03-18,95
Hometown Girl,Josh Turner,2017-03-18,96
Yeah Boy,Kelsea Ballerini,2017-03-18,97
Black,Dierks Bentley,2017-03-18,98
El Amante,Nicky Jam,2017-03-18,99
Green Light,Lorde,2017-03-18,100
Shape Of You,Ed Sheeran,2017-03-25,1
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017-03-25,2
That's What I Like,Bruno Mars,2017-03-25,3
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017-03-25,4
Love On The Brain,Rihanna,2017-03-25,5
Tunnel Vision,Kodak Black,2017-03-25,6
Paris,The Chainsmokers,2017-03-25,7
Bounce Back,Big Sean,2017-03-25,8
Rockabye,Clean Bandit Featuring Sean Paul &amp; Anne-Marie,2017-03-25,9
Closer,The Chainsmokers Featuring Halsey,2017-03-25,10
Something Just Like This,The Chainsmokers &amp; Coldplay,2017-03-25,11
I Feel It Coming,The Weeknd Featuring Daft Punk,2017-03-25,12
Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017-03-25,13
iSpy,KYLE Featuring Lil Yachty,2017-03-25,14
Mercy,Shawn Mendes,2017-03-25,15
24K Magic,Bruno Mars,2017-03-25,16
Body Like A Back Road,Sam Hunt,2017-03-25,17
It Ain't Me,Kygo x Selena Gomez,2017-03-25,18
Green Light,Lorde,2017-03-25,19
Cold,Maroon 5 Featuring Future,2017-03-25,20
Scars To Your Beautiful,Alessia Cara,2017-03-25,21
Bad Things,Machine Gun Kelly x Camila Cabello,2017-03-25,22
Fake Love,Drake,2017-03-25,23
Can't Stop The Feeling!,Justin Timberlake,2017-03-25,24
Down,Marian Hill,2017-03-25,25
Starboy,The Weeknd Featuring Daft Punk,2017-03-25,26
Issues,Julia Michaels,2017-03-25,27
Say You Won't Let Go,James Arthur,2017-03-25,28
Million Reasons,Lady Gaga,2017-03-25,29
T-Shirt,Migos,2017-03-25,30
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017-03-25,31
Mask Off,Future,2017-03-25,32
Congratulations,Post Malone Featuring Quavo,2017-03-25,33
Stay,Zedd &amp; Alessia Cara,2017-03-25,34
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017-03-25,35
Swang,Rae Sremmurd,2017-03-25,36
Perfect,Ed Sheeran,2017-03-25,37
Location,Khalid,2017-03-25,38
Castle On The Hill,Ed Sheeran,2017-03-25,39
Let Me Love You,DJ Snake Featuring Justin Bieber,2017-03-25,40
Believer,Imagine Dragons,2017-03-25,41
Dirt On My Boots,Jon Pardi,2017-03-25,42
Water Under The Bridge,Adele,2017-03-25,43
Heathens,twenty one pilots,2017-03-25,44
All Time Low,Jon Bellion,2017-03-25,45
Make Me (Cry),Noah Cyrus Featuring Labrinth,2017-03-25,46
Caroline,Amine,2017-03-25,47
Rolex,Ayo &amp; Teo,2017-03-25,48
